note_id,tweet_id,note_score,delta_seconds
1540422295029551104,1540087463099736065,0.18407473,79830
1535128588818653184,1535062308426510337,0.16148917,15802
1535109453644763151,1535062308426510337,0.24264638,11240
1535628323593797633,1535062308426510337,-0.047243956,134948
1356735932087611399,1352754599590035459,0.17710511,949223
1550490344223084546,1550270293402423296,0.20662765,52464
1416114744956801024,1416104050471407631,0.28272352,2549
1510439273715093506,1510259697819037701,0.080028415,42815
1523976585040257028,1523430921659027456,0.32209805,130096
1354891631980204040,1354865702889533442,-0.025432138,6182
1431081052622114825,1431064081415475203,0.05118121,4046
1431170723360477185,1431064081415475203,0.035280425,25425
1497267824921694215,1497218172071645195,0.22156356,11839
1357779296220303366,1357484131400048642,0.35224828,70373
1417506709489266699,1417474488707473412,0.18820842,7682
1423048327411683336,1423016160438542336,0.18325794,7669
1536058578469105664,1535788374048575489,0.25295648,64422
1536000629025525761,1535788374048575489,0.03362121,50606
1535993686466641920,1535788374048575489,-0.28317434,48950
1536063338504933377,1535788374048575489,0.18428376,65557
1535982034417491968,1535788374048575489,0.20803972,46172
1540165105324785664,1540055729192800256,0.24219628,26077
1540317636357242880,1540055729192800256,0.14274922,62443
1556823844643639296,1556793230028587009,0.09638108,7299
1556985952043536384,1556793230028587009,-0.03156054,45949
1557120668138762240,1556793230028587009,0.14956933,78067
1580589617044422656,1580190590947405825,0.18369721,95135
1580243087778926593,1580190590947405825,-0.07305893,12516
1586804530129387523,1586391230698557440,0.20360251,98539
1586871530990063616,1586391230698557440,0.31040105,114513
1586969025871073285,1586391230698557440,0.16549999,137757
1586896922517770241,1586391230698557440,0.12920456,120567
1587188127205974017,1586391230698557440,0.23642996,189995
1587437185246138368,1587083100961619968,0.16820855,84420
1587218911292018691,1587083100961619968,0.31875032,32380
1590089391728386048,1590086293706641409,0.23254001,739
1590090122665541632,1590062144242200576,0.1829564,6671
1597968869246877700,1597351066404020224,0.31758058,147295
1597970141127606275,1597045990447382528,0.17421024,220335
1608603506478309379,1608164393900032001,-0.06890014,104693
1609177362788229122,1608164393900032001,-0.12729013,241511
1444877219705196548,1444811066266038273,-0.019276105,15772
1521618624212922368,1519441929037090819,0.17142807,518964
1521958030828580864,1519441929037090819,0.14353046,599885
1521687331635347456,1519441929037090819,0.030448161,535346
1521619568082313216,1519318056983539712,0.25031313,548723
1521630401508220928,1521300212412678144,0.13185474,78723
1521889786809643008,1521797001175834625,0.24854338,22122
1521856947548528641,1521797001175834625,0.08961761,14292
1521864985403609090,1521797001175834625,0.1339204,16209
1522041018262110208,1521797001175834625,0.08903694,58178
1521864805484838919,1521797001175834625,0.08836367,16166
1521946220050018305,1521842639464648708,0.2694524,24695
1521943616905695235,1521842639464648708,0.14775555,24075
1521912043477078019,1521842639464648708,0.032033663,16547
1521952461652594688,1521840683673391105,0.1931928,26650
1521907425858801667,1521840683673391105,0.11038028,15912
1521956783379558401,1521555460662435840,0.18697123,95683
1522318886837755904,1522222832293486593,0.062917665,22901
1523143768026673155,1523129909828194304,0.05291058,3304
1523131498819465217,1523129909828194304,-0.08624776,379
1525180045706219521,1524868269148192779,0.09838714,74334
1525170974445944832,1524868269148192779,0.08693339,72171
1524923633012965402,1524868269148192779,0.4474825,13200
1525205926130614273,1524868269148192779,0.48441797,80504
1524929227149148160,1524868269148192779,0.2268175,14534
1524933007202721800,1524868269148192779,0.18407643,15435
1524956657314316291,1524868269148192779,0.40973818,21074
1524964536565895169,1524868269148192779,0.41883343,22952
1524936969448464385,1524868269148192779,0.4243684,16380
1524937330930360341,1524868269148192779,0.43009326,16466
1524945158978027520,1524868269148192779,0.53354895,18332
1524954968616316928,1524868269148192779,0.29853475,20671
1524938439321329701,1524868269148192779,0.2969198,16730
1525091092969967616,1524868269148192779,0.4844417,53126
1524931971020779523,1524868269148192779,0.3293354,15188
1525083421839659009,1524868269148192779,0.3983633,51297
1524932699697209344,1524868269148192779,0.52086455,15362
1524870207390507021,1524868269148192779,0.24585488,462
1527105847314173952,1526997132858822658,0.11321802,25919
1527063079522996224,1526997132858822658,0.05354357,15723
1528049956447207430,1526997132858822658,-0.06176527,251013
1527059836055310337,1526997132858822658,-0.0043181973,14949
1527296810611404802,1526997132858822658,-0.15610203,71449
1527152389148618754,1526997132858822658,-0.21580014,37016
1527024549895802885,1526997132858822658,-0.17550944,6537
1527010209301938180,1526997132858822658,-0.068765976,3118
1527024392470937601,1526997132858822658,-0.23713017,6499
1526998739662934016,1526997132858822658,-0.13649544,383
1527043433428357125,1526997132858822658,-0.045433637,11039
1527146354002239497,1526997132858822658,-0.10277215,35577
1527007119278387200,1526997132858822658,-0.11606134,2381
1527110333227159554,1526682530463768579,0.163101,101996
1527110837265043458,1526922927551221761,0.14382415,44801
1534364463008055296,1534357057486442498,-0.074540325,1765
1546996507387105281,1546980241494745100,0.06277138,3878
1580668471502770176,1580653826281197568,0.14341107,3492
1587843813006921728,1587647032457449473,0.22849007,46916
1588991752077283335,1587647032457449473,-0.09612073,320606
1587723973508284416,1587647032457449473,0.0730797,18344
1587784480705708033,1587647032457449473,0.15471968,32770
1587819971823951872,1587647032457449473,0.18081403,41232
1587801562931396608,1587647032457449473,0.16859376,36843
1587927458464022535,1587647032457449473,0.19902615,66859
1587650293268873216,1587647032457449473,0.33930758,777
1593427078120058880,1593415171149791232,0.018820602,2839
1608874675223896071,1608826955587284993,0.49729347,11377
1609209693641089036,1608826955587284993,0.35135797,91252
1609198991714967553,1608826955587284993,0.39819202,88700
1609166601781133312,1608826955587284993,0.19748951,80978
1608875890951200768,1607456601673285634,0.1496386,338385
1608876324403265536,1607118516653629446,0.021164075,419094
1592575255503163393,1592188402317037568,0.12052439,92233
1592951083864936448,1592188402317037568,0.28457198,181837
1518968800091295745,1518646196952350726,-0.10065182,76914
1518785141602017280,1518646196952350726,0.27562675,33127
1518971098527789061,1518646196952350726,0.42978466,77462
1603916145567875072,1603475492618702848,0.11662932,105060
1576469866957127680,1576217314801815552,0.3793292,60213
1576433897063079936,1576217314801815552,0.036878206,51637
1576986271330832392,1576382697886269440,0.24967954,143903
1576805941663735809,1576382697886269440,0.22265835,100909
1576923458662965249,1576382697886269440,0.20654835,128928
1578768669764640768,1578721055635824641,0.13410836,11352
1597751119194759170,1597715607864348672,0.14736958,8467
1597780872715030534,1597715607864348672,0.18256232,15561
1588599500922314759,1588538640401018880,-0.14608823,14510
1588546147618066433,1588538640401018880,0.19864535,1790
1588609482900193280,1588538640401018880,0.37105668,16890
1588549959892074496,1588538640401018880,0.222215,2698
1588542343803797504,1588538640401018880,-0.11552454,883
1588545691013582850,1588538640401018880,0.06727198,1681
1588544948185333760,1588538640401018880,-0.29476508,1504
1588549055218855936,1588538640401018880,0.20788701,2483
1588549733060317184,1588538640401018880,0.30174625,2644
1588545106575036416,1588538640401018880,0.36005992,1541
1588545299395518464,1588538640401018880,-0.28928858,1587
1588543903874965511,1588538640401018880,-0.115689255,1255
1588575499059699717,1588538640401018880,0.23176827,8787
1588588916180918272,1588538640401018880,-0.27736065,11986
1588548448592302084,1588538640401018880,0.06942943,2338
1588544798465687555,1588538640401018880,-0.06724627,1468
1588543356514275329,1588538640401018880,-0.28654683,1124
1588556015041220610,1588538640401018880,-0.27658892,4142
1588669953804496896,1588538640401018880,0.0243171,31307
1588653630722392064,1588538640401018880,0.09247987,27415
1588664952352645121,1588538640401018880,0.20781653,30115
1377097422371876880,1377087132334981125,-0.05407189,2453
1377247766125101067,1377087132334981125,0.2745392,38298
1544512360886538240,1544102961411895296,0.0046029035,97609
1544297724035612672,1544102961411895296,0.015340963,46435
1580302549659553794,1580187793749610498,0.2279254,27360
1590846593804259328,1590183247505653760,0.3498073,158154
