id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
31,2024-10-15 17:36:12.322975+00:00,2024-10-15 17:36:12.323163+00:00,2663,66059aa0ce526bb967a61359,670ea7b0a139bbc8ce390731,label,6
32,2024-10-15 17:36:49.393745+00:00,2024-10-15 17:36:49.393839+00:00,2864,6647d385a03fca12ce7acc45,670ea7e1ebf53cf8ec59a194,no label,4
33,2024-10-15 17:37:01.475927+00:00,2024-10-15 17:37:01.476023+00:00,2445,5ce158b01d1060001a810a2d,670ea7e28cc653fcbf4b0c3c,label,4
34,2024-10-15 17:37:23.398608+00:00,2024-10-15 17:37:23.398708+00:00,2384,66da5b1cc2d9c3b39947324a,670ea81bb4e438ae46a92bd6,no label,5
35,2024-10-15 17:37:49.108120+00:00,2024-10-15 17:37:49.108220+00:00,2782,5d6c5cca8cb0f70001b1fac5,670ea843b0cb7bdc88c976e8,no label,4
36,2024-10-15 17:37:51.856053+00:00,2024-10-15 17:37:51.856158+00:00,2222,5a7e2829000dab00018c6081,670ea81ef8e780563c5d6886,no label,7
37,2024-10-15 17:39:03.200258+00:00,2024-10-15 17:39:03.200410+00:00,2244,5ea90125117dae3737b5e552,670ea83285b272bd88390543,no label,4
38,2024-10-15 17:41:27.000239+00:00,2024-10-15 17:41:27.000391+00:00,2354,61019fe1c6bc61fafe1c74fe,670ea91285b272bd8839057d,label,4
39,2024-10-15 17:43:52.753225+00:00,2024-10-15 17:43:52.753323+00:00,2650,5ecf40ccb218ec372490e3ea,670ea97bc56d28c4636cc8be,label,2
40,2024-10-15 17:44:40.251338+00:00,2024-10-15 17:44:40.251512+00:00,2920,60da4f9aa1ced7efeecca18a,670ea9b6f1a48a783a00ca0b,no label,5
41,2024-10-15 17:45:05.578298+00:00,2024-10-15 17:45:05.578400+00:00,2909,66350b4dc4c3fa6f738acc88,670ea9b78ce36e124113d8b8,no label,4
42,2024-10-15 17:45:34.762562+00:00,2024-10-15 17:45:34.762661+00:00,2434,5d76bf508da7af001b5fa26c,670eaa0dfb0c5edbfa3e125a,label,6
43,2024-10-15 17:45:35.955553+00:00,2024-10-15 17:45:35.955647+00:00,2098,5eace152e25d6800091dd418,670ea967a12f4285dba2ccca,no label,5
44,2024-10-15 17:46:13.736763+00:00,2024-10-15 17:46:13.736953+00:00,2204,5cb6d1aff4315f0001617ed5,670ea98d786618ac1b2f3b43,no label,1
45,2024-10-15 17:46:23.103803+00:00,2024-10-15 17:46:23.103899+00:00,2062,64c006c43b26c6796d9f6a23,670eaa2bb47a97b5a8d3a04b,no label,5
46,2024-10-15 17:46:43.007323+00:00,2024-10-15 17:46:43.007423+00:00,2733,5d3caf9429130a00015cd0e3,670eaa11d2c50aa0e5a2c288,label,1
47,2024-10-15 17:46:58.897405+00:00,2024-10-15 17:46:58.897507+00:00,2261,600db78b56935a5dd8c759b3,670eaa4da4196b9c4e920a3b,label,4
48,2024-10-15 17:47:29.530293+00:00,2024-10-15 17:47:29.530395+00:00,2154,670943e54e0bd42bf3fa289f,670eaa69578dbcda3b0272b1,label,2
